method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,14,0.9412330966758408,0.8105691442466773,4.743862087223189,0.04428515798987628,0.21612457685034286
Random MDT,14,0.8187698128471183,0.6659497379832761,4.220738128256159,0.05313896285564428,0.28599933694577606
Random Convex MDT,15,0.9016116676889316,0.8042957877797126,4.699587473673662,0.04484670599741292,0.2202945282574011
Random MDT,15,0.8650425157069445,0.6731704940434692,4.217489863888188,0.054936163295763875,0.3187935383601693
Random Convex MDT,16,0.8948658701512264,0.8010040484933374,4.651911027046168,0.04442879789212009,0.21864721878008048
Random MDT,16,0.863736119180708,0.6628114382927158,4.149955095297054,0.05484621487382531,0.32700864080157943
Random Convex MDT,17,0.8872894845183473,0.7956029253309204,4.581017030048649,0.036652510145045294,0.1908211827130523
Random MDT,17,0.8683481382311423,0.6540796799170968,4.090968142016416,0.049820820044260215,0.3105983811309724
Random Convex MDT,18,0.907622979700915,0.7870253649914046,4.500884624402915,0.04101645966228,0.20258702414923443
Random MDT,18,0.7695001619239735,0.6484290811144511,4.033282699120216,0.04988319230530119,0.28334107416051874
Random Convex MDT,19,0.9033362884500749,0.7849005757347796,4.474371766327027,0.038966409367323436,0.21164110401352718
Random MDT,19,0.883793255978497,0.6517025566313924,4.026060031277633,0.05348173063120543,0.3315855587463894
Random Convex MDT,20,0.881979839910751,0.7749604279049982,4.3865218304780615,0.03327188377957949,0.18042662207499754
Random MDT,20,0.8647444889874285,0.6460730271604657,3.9640496500302778,0.0493162287241775,0.28379735029455105
Random Convex MDT,21,0.8906690234079402,0.7787175621890771,4.370516584056437,0.03622074238556136,0.18826904614070822
Random MDT,21,0.855254622753587,0.6532514115396427,4.0125927523324405,0.0499801778655415,0.2816092216402284
Random Convex MDT,22,0.9009403728000119,0.7709855606807772,4.316884988537742,0.03602404077083433,0.19828176245425813
Random MDT,22,0.855442745271909,0.6321472442501874,3.8607718625577263,0.04503928475294395,0.2606292487154131
Random Convex MDT,23,0.8725328334641465,0.7623102984425527,4.248316410068689,0.036770663256273005,0.19633484629205072
Random MDT,23,0.8581025906447585,0.6344258407061609,3.8579290356625897,0.04917915137185789,0.31451540918497434
Random Convex MDT,24,0.8195651600833691,0.7538279330581402,4.171001110409543,0.03400739525242216,0.17120393412230925
Random MDT,24,0.8416581734145594,0.6280167206058511,3.7944597955014774,0.04607115002860332,0.27945340997748463
Random Convex MDT,25,0.8502988126886837,0.7509806969688378,4.126692752473002,0.03277366182625056,0.15707315147484055
Random MDT,25,0.8689516214554613,0.6274010970376147,3.7420915607257514,0.04895262875185802,0.29449744903686254
Random Convex MDT,30,0.8803327134925749,0.7144304543695271,3.827617502448458,0.03219259218056855,0.16476808316781005
Random MDT,30,0.9234454924243801,0.6090998584129438,3.574489335802615,0.05282203090054968,0.3222065205112032
Random Convex MDT,35,0.8353648015083366,0.6792360323096459,3.565943819189236,0.02987877396724397,0.15288925445176693
Random MDT,35,0.9266688367009459,0.5790924155144992,3.3217408345460195,0.04928926894732057,0.3046169670147613
Random Convex MDT,40,0.8691703472712189,0.640361696326912,3.287411606851183,0.027811415488976136,0.13286798875495387
Random MDT,40,0.9418876071360514,0.560066971908873,3.154929882095108,0.055351561510811824,0.3255685402273951
Random Convex MDT,45,0.8240776301240781,0.5947379666648067,3.0018318530453114,0.0222557403496282,0.12243516550317388
Random MDT,45,0.9325854662620496,0.5181757434948742,2.88067158851404,0.05649380269855363,0.31017355977862543
Random Convex MDT,50,0.8594481011435381,0.5490320417804724,2.7411741515848225,0.02375438373718458,0.10668293854459625
Random MDT,50,0.9415378536014534,0.49110828202911366,2.7175084024524363,0.05820481027859002,0.28578257763478415
