method,repeat,metric,value
Random Convex MDT_t2,25,ami,0.6461508796301323
Random Convex MDT_t2,25,ari,0.46799434084593294
Random Convex MDT_t2,26,ami,0.6547672998870336
Random Convex MDT_t2,26,ari,0.4993282193528534
Random Convex MDT_t2,27,ami,0.6389368143357439
Random Convex MDT_t2,27,ari,0.4404709669866397
Random Convex MDT_t2,28,ami,0.6852680007831894
Random Convex MDT_t2,28,ari,0.5207814468181708
Random Convex MDT_t2,29,ami,0.6844873550489006
Random Convex MDT_t2,29,ari,0.5221132802898054
Random Convex MDT_t2,30,ami,0.6624362916401877
Random Convex MDT_t2,30,ari,0.5012175185693661
Random Convex MDT_t2,31,ami,0.6569188078637526
Random Convex MDT_t2,31,ari,0.4958846302097285
Random Convex MDT_t2,32,ami,0.669450018756189
Random Convex MDT_t2,32,ari,0.5126807540529061
Random Convex MDT_t2,33,ami,0.6556218835573596
Random Convex MDT_t2,33,ari,0.49569315775317807
Random Convex MDT_t2,34,ami,0.6575989692258428
Random Convex MDT_t2,34,ari,0.5004195016095794
Random Convex MDT_t2,35,ami,0.6594098581431955
Random Convex MDT_t2,35,ari,0.4993033930900897
Random Convex MDT_t2,36,ami,0.6671179550209785
Random Convex MDT_t2,36,ari,0.4496306579716425
Random Convex MDT_t2,37,ami,0.6793699473638005
Random Convex MDT_t2,37,ari,0.5298809194282271
Random Convex MDT_t2,38,ami,0.665778051994047
Random Convex MDT_t2,38,ari,0.5054376199653962
Random Convex MDT_t2,39,ami,0.6320721371539063
Random Convex MDT_t2,39,ari,0.4526751131463014
Random Convex MDT_t2,40,ami,0.6915617904937454
Random Convex MDT_t2,40,ari,0.5435451543957217
Random Convex MDT_t2,41,ami,0.7051442482695433
Random Convex MDT_t2,41,ari,0.56589446884625
Random Convex MDT_t2,42,ami,0.6765094394516262
Random Convex MDT_t2,42,ari,0.5223666092162617
Random Convex MDT_t2,43,ami,0.6779255397199444
Random Convex MDT_t2,43,ari,0.5370660925784927
Random Convex MDT_t2,44,ami,0.6591739272516605
Random Convex MDT_t2,44,ari,0.5010147183037118
Random Convex MDT_t2,45,ami,0.666016489283353
Random Convex MDT_t2,45,ari,0.5044171619596981
Random Convex MDT_t2,46,ami,0.6573014955253816
Random Convex MDT_t2,46,ari,0.4982693097076152
Random Convex MDT_t2,47,ami,0.6672000049012449
Random Convex MDT_t2,47,ari,0.5058193473689019
Random Convex MDT_t2,48,ami,0.6971164568212938
Random Convex MDT_t2,48,ari,0.5531593241692421
Random Convex MDT_t2,49,ami,0.6311809301233078
Random Convex MDT_t2,49,ari,0.44734226982735864
Random Convex MDT_t2,50,ami,0.6530687116355187
Random Convex MDT_t2,50,ari,0.4747393523516171
Random Convex MDT_t2,51,ami,0.6280823872829525
Random Convex MDT_t2,51,ari,0.479456420757688
Random Convex MDT_t2,52,ami,0.659344954032822
Random Convex MDT_t2,52,ari,0.4859073505027206
Random Convex MDT_t2,53,ami,0.6372257921930042
Random Convex MDT_t2,53,ari,0.4633137449081631
Random Convex MDT_t2,54,ami,0.634417589162582
Random Convex MDT_t2,54,ari,0.454638638376851
Random Convex MDT_t2,55,ami,0.663134074619693
Random Convex MDT_t2,55,ari,0.5005450594898493
Random Convex MDT_t2,56,ami,0.6773183930179015
Random Convex MDT_t2,56,ari,0.5329394279003703
Random Convex MDT_t2,57,ami,0.6708354206619912
