method,repeat,metric,value
Random Convex MDT_t1,58,chs,3.7975900691432223
Random Convex MDT_t1,58,ami,0.7369174984941079
Random Convex MDT_t1,58,ari,0.6626736584037047
Random Convex MDT_t1,59,chs,3.59302025777191
Random Convex MDT_t1,59,ami,0.6611211541829497
Random Convex MDT_t1,59,ari,0.5194960298262027
Random Convex MDT_t1,60,chs,3.7144188359508385
Random Convex MDT_t1,60,ami,0.6791025695288169
Random Convex MDT_t1,60,ari,0.5898741394112363
Random Convex MDT_t1,61,chs,3.729682431255971
Random Convex MDT_t1,61,ami,0.6795797234078936
Random Convex MDT_t1,61,ari,0.5766703465136404
Random Convex MDT_t1,62,chs,3.7232206625237496
Random Convex MDT_t1,62,ami,0.7466983542292233
Random Convex MDT_t1,62,ari,0.6516782045225141
Random Convex MDT_t1,63,chs,3.8572403571659186
Random Convex MDT_t1,63,ami,0.656071031864086
Random Convex MDT_t1,63,ari,0.6011814758116777
Random Convex MDT_t1,64,chs,3.826833593825964
Random Convex MDT_t1,64,ami,0.6611748931483201
Random Convex MDT_t1,64,ari,0.5919316682782106
Random Convex MDT_t1,65,chs,3.712507614157624
Random Convex MDT_t1,65,ami,0.6856013953218232
Random Convex MDT_t1,65,ari,0.5535255452644159
Random Convex MDT_t1,66,chs,3.753813632551288
Random Convex MDT_t1,66,ami,0.7482185333000079
Random Convex MDT_t1,66,ari,0.6710720853605482
Random Convex MDT_t1,67,chs,3.6108030429245934
Random Convex MDT_t1,67,ami,0.6138380605300601
Random Convex MDT_t1,67,ari,0.46556614463981977
Random Convex MDT_t1,68,chs,3.6706261937189524
Random Convex MDT_t1,68,ami,0.6803026955378555
Random Convex MDT_t1,68,ari,0.5118999259059782
Random Convex MDT_t1,69,chs,3.3811869573660163
Random Convex MDT_t1,69,ami,0.5482339042840902
Random Convex MDT_t1,69,ari,0.4261936122836036
Random Convex MDT_t1,70,chs,3.6276251761004987
Random Convex MDT_t1,70,ami,0.6526824610273575
Random Convex MDT_t1,70,ari,0.47904878462489836
Random Convex MDT_t1,71,chs,3.8699647237428416
Random Convex MDT_t1,71,ami,0.6937736476837854
Random Convex MDT_t1,71,ari,0.6205161198084209
Random Convex MDT_t1,72,chs,3.8615243992414596
Random Convex MDT_t1,72,ami,0.6507189176633428
Random Convex MDT_t1,72,ari,0.5568616194394819
Random Convex MDT_t1,73,chs,3.8650139673734074
Random Convex MDT_t1,73,ami,0.6730573703371001
Random Convex MDT_t1,73,ari,0.6051786679407484
Random Convex MDT_t1,74,chs,3.6434917580178983
Random Convex MDT_t1,74,ami,0.6712065446041926
Random Convex MDT_t1,74,ari,0.5667756738911067
Random Convex MDT_t1,75,chs,3.8511681157220723
Random Convex MDT_t1,75,ami,0.6636214583935997
Random Convex MDT_t1,75,ari,0.6009757030965034
Random Convex MDT_t1,76,chs,3.7342060187724613
Random Convex MDT_t1,76,ami,0.6241534369930706
Random Convex MDT_t1,76,ari,0.46135043512805457
Random Convex MDT_t1,77,chs,3.462936760381576
Random Convex MDT_t1,77,ami,0.5817195429041659
Random Convex MDT_t1,77,ari,0.4257144183214562
Random Convex MDT_t1,78,chs,3.673476409811337
Random Convex MDT_t1,78,ami,0.6191333344717527
Random Convex MDT_t1,78,ari,0.5316041035694687
Random Convex MDT_t1,79,chs,3.721581807877537
Random Convex MDT_t1,79,ami,0.6959392886675652
Random Convex MDT_t1,79,ari,0.6112690245104931
Random Convex MDT_t1,80,chs,3.7526606298287026
Random Convex MDT_t1,80,ami,0.6399036823902765
Random Convex MDT_t1,80,ari,0.5414878421362395
Random Convex MDT_t1,81,chs,3.722311207761943
Random Convex MDT_t1,81,ami,0.7108781526983589
Random Convex MDT_t1,81,ari,0.6303893853452344
Random Convex MDT_t1,82,chs,3.861110787422631
Random Convex MDT_t1,82,ami,0.7395598943672808
Random Convex MDT_t1,82,ari,0.6592098162963658
Random Convex MDT_t1,83,chs,3.8878661825111216
Random Convex MDT_t1,83,ami,0.7167688262918956
Random Convex MDT_t1,83,ari,0.6414389212461618
Random Convex MDT_t1,84,chs,3.6716560347625795
Random Convex MDT_t1,84,ami,0.6207883991762998
Random Convex MDT_t1,84,ari,0.530519631301047
Random Convex MDT_t1,85,chs,3.85458611721157
Random Convex MDT_t1,85,ami,0.6673810073424444
Random Convex MDT_t1,85,ari,0.6056613814544816
Random Convex MDT_t1,86,chs,3.842067188642699
Random Convex MDT_t1,86,ami,0.7193665667768394
Random Convex MDT_t1,86,ari,0.6364581511008922
Random Convex MDT_t1,87,chs,3.7292651684402345
Random Convex MDT_t1,87,ami,0.6282905470314819
