method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,17,0.44065609522504445,0.8420700691130769,5.339621166501388,0.01393741376687032,0.07222618847044074
Random MDT,17,0.8001847922255119,0.7981836644658391,5.1799180899821415,0.036013293625060394,0.1432989321244584
Random Convex MDT,18,0.35141641338494267,0.8417574272764715,5.336315695429404,0.014762203447137323,0.07069700101080928
Random MDT,18,0.8582051612145971,0.8008992781801052,5.191016500510195,0.04141079477363804,0.1548750115623909
Random Convex MDT,19,0.52245482682894,0.8400830461102906,5.325888853671005,0.017645776825811935,0.08118111438281071
Random MDT,19,0.7787675031262927,0.7913424518344477,5.137805360343319,0.04221646720320825,0.16887884894761113
Random Convex MDT,20,0.4543610903669085,0.835630119942763,5.310851664453836,0.017445087783077188,0.08344944151539488
Random MDT,20,0.7786287278556788,0.7897830891504168,5.115086715204071,0.04195291742531923,0.15021248250550623
Random Convex MDT,21,0.3363110830807477,0.8350374227481266,5.3037582528318685,0.017387443943737337,0.09381486525990106
Random MDT,21,0.8823985085567198,0.7870828028474405,5.121355185353452,0.04335992636521279,0.16490964108104494
Random Convex MDT,22,0.4420403417208248,0.8347600213053004,5.292039668596402,0.015683682528460665,0.0970839973358609
Random MDT,22,0.840471109176939,0.7945864858246812,5.141773447372189,0.04038019793859052,0.16278184170661625
Random Convex MDT,23,0.3250544015160586,0.833066657879664,5.295287301227834,0.013018068716887415,0.09617545474477625
Random MDT,23,0.7918102931149491,0.7874216285468172,5.101412225373849,0.04023744738047632,0.16791337791224967
Random Convex MDT,24,0.48317402520444164,0.8320601893288585,5.270840215819928,0.016648476846925407,0.10390345511334649
Random MDT,24,0.7349589946306944,0.7858994052024596,5.083855358633901,0.03617023514527989,0.16101135954177384
Random Convex MDT,25,0.4658041576848833,0.8317171982866975,5.293269405736858,0.015294353228863106,0.07663687726367434
Random MDT,25,0.804945888479695,0.7858143590839554,5.08714885898177,0.04116366487766182,0.1791293131847801
Random Convex MDT,30,0.5547838492394751,0.8186311718420957,5.231670635166596,0.01715482075113166,0.09741873053538323
Random MDT,30,0.8045135231138604,0.7702614696063915,4.982140716198981,0.041894371160092446,0.20692425596039737
Random Convex MDT,35,0.4927415017238504,0.8068102978131846,5.1543709725956806,0.017435568898663337,0.1252256049181891
Random MDT,35,0.7030471345483172,0.7669637967028791,4.932373277635224,0.03352535313846414,0.20158959529105816
Random Convex MDT,40,0.6438397999040669,0.7988943141291514,5.131579414804354,0.015938927105117538,0.15188054998229536
Random MDT,40,0.7592727177637624,0.7581091643927167,4.886655294824481,0.04260214019943555,0.23826028814193895
Random Convex MDT,45,0.7274469579703885,0.7894654156810357,5.039399785444046,0.018512035290017506,0.18151881150868493
Random MDT,45,0.766513041657998,0.7469017770980162,4.8027770134599965,0.03784745213208362,0.22781173583020292
Random Convex MDT,50,0.7646647112625057,0.7784270204966016,4.955995667148124,0.0195559592251849,0.2081344240230564
Random MDT,50,0.7548722869211362,0.742349838006668,4.760181367329057,0.033377450240686106,0.21353450978579028
