method,repeat,metric,value
Random Convex MDT_t1,98,chs,7.85132788653776
Random Convex MDT_t1,98,ami,0.7504321067390118
Random Convex MDT_t1,98,ari,0.5280672636977859
Random Convex MDT_t1,99,chs,7.847416891162555
Random Convex MDT_t1,99,ami,0.7473157581984337
Random Convex MDT_t1,99,ari,0.49822809444091687
Random Convex MDT_t2,0,chs,7.815467499648913
Random Convex MDT_t2,0,ami,0.7616943079239413
Random Convex MDT_t2,0,ari,0.5300914644767545
Random Convex MDT_t2,1,chs,7.79330295931458
Random Convex MDT_t2,1,ami,0.7806394112363619
Random Convex MDT_t2,1,ari,0.5460699627905744
Random Convex MDT_t2,2,chs,7.752998155342681
Random Convex MDT_t2,2,ami,0.7734996575495433
Random Convex MDT_t2,2,ari,0.4850199103056029
Random Convex MDT_t2,3,chs,7.832674599143684
Random Convex MDT_t2,3,ami,0.7665764942018045
Random Convex MDT_t2,3,ari,0.5430741731618293
Random Convex MDT_t2,4,chs,7.841737218707629
Random Convex MDT_t2,4,ami,0.7729545842794402
Random Convex MDT_t2,4,ari,0.5726141958180087
Random Convex MDT_t2,5,chs,7.8179005262739905
Random Convex MDT_t2,5,ami,0.7641929411778299
Random Convex MDT_t2,5,ari,0.5520824012847563
Random Convex MDT_t2,6,chs,7.831771879793787
Random Convex MDT_t2,6,ami,0.7618408125116539
Random Convex MDT_t2,6,ari,0.5390573763049088
Random Convex MDT_t2,7,chs,7.813156915200611
Random Convex MDT_t2,7,ami,0.7566602977755402
Random Convex MDT_t2,7,ari,0.5413832283016686
Random Convex MDT_t2,8,chs,7.857731167776284
Random Convex MDT_t2,8,ami,0.7695765298299267
Random Convex MDT_t2,8,ari,0.5489992500042203
Random Convex MDT_t2,9,chs,7.879049911291081
Random Convex MDT_t2,9,ami,0.7731493705654932
Random Convex MDT_t2,9,ari,0.5444124735859025
Random Convex MDT_t2,10,chs,7.734320532713203
Random Convex MDT_t2,10,ami,0.7598116914456312
Random Convex MDT_t2,10,ari,0.5445545264322135
Random Convex MDT_t2,11,chs,7.866100969281931
Random Convex MDT_t2,11,ami,0.7688704444772546
Random Convex MDT_t2,11,ari,0.5586355503191934
Random Convex MDT_t2,12,chs,7.772261631439833
