method,repeat,metric,value
Random Convex MDT_t1,75,ami,0.6294453004212084
Random Convex MDT_t1,75,ari,0.46604592255219185
Random Convex MDT_t1,76,ami,0.5693261739950278
Random Convex MDT_t1,76,ari,0.34942324056916396
Random Convex MDT_t1,77,ami,0.6028989117222102
Random Convex MDT_t1,77,ari,0.42069295204955537
Random Convex MDT_t1,78,ami,0.5982502429163344
Random Convex MDT_t1,78,ari,0.34206965409684786
Random Convex MDT_t1,79,ami,0.6158933348199721
Random Convex MDT_t1,79,ari,0.4605606078580766
Random Convex MDT_t1,80,ami,0.5930740398014539
Random Convex MDT_t1,80,ari,0.4213199952725771
Random Convex MDT_t1,81,ami,0.5803189636988586
Random Convex MDT_t1,81,ari,0.38974497022024296
Random Convex MDT_t1,82,ami,0.575596403871667
Random Convex MDT_t1,82,ari,0.3826580599521802
Random Convex MDT_t1,83,ami,0.5836371308499463
Random Convex MDT_t1,83,ari,0.38375939982171436
Random Convex MDT_t1,84,ami,0.5743003138785927
Random Convex MDT_t1,84,ari,0.38001017267531056
Random Convex MDT_t1,85,ami,0.6266693172569915
Random Convex MDT_t1,85,ari,0.4642453037842795
Random Convex MDT_t1,86,ami,0.6232148281081683
Random Convex MDT_t1,86,ari,0.46244281994486675
Random Convex MDT_t1,87,ami,0.6092262099070559
Random Convex MDT_t1,87,ari,0.44912166647538015
Random Convex MDT_t1,88,ami,0.5437389955883358
Random Convex MDT_t1,88,ari,0.2631579696482827
Random Convex MDT_t1,89,ami,0.6150355438848769
Random Convex MDT_t1,89,ari,0.4227959254367561
Random Convex MDT_t1,90,ami,0.6041591394093623
Random Convex MDT_t1,90,ari,0.4383886091099062
Random Convex MDT_t1,91,ami,0.5671180917888462
Random Convex MDT_t1,91,ari,0.3326118575356587
Random Convex MDT_t1,92,ami,0.5852064813750734
Random Convex MDT_t1,92,ari,0.377118553507815
Random Convex MDT_t1,93,ami,0.5755186855555956
Random Convex MDT_t1,93,ari,0.3596371683878102
Random Convex MDT_t1,94,ami,0.6277733887529554
Random Convex MDT_t1,94,ari,0.46543093709992894
Random Convex MDT_t1,95,ami,0.5723361236862332
Random Convex MDT_t1,95,ari,0.33673314079985006
Random Convex MDT_t1,96,ami,0.6268096425384924
Random Convex MDT_t1,96,ari,0.4588935955910634
Random Convex MDT_t1,97,ami,0.5984087358972418
Random Convex MDT_t1,97,ari,0.4096626037496094
Random Convex MDT_t1,98,ami,0.5312772629678837
Random Convex MDT_t1,98,ari,0.34718414345609444
