method,repeat,metric,value
Random Convex MDT_t1,60,ari,0.7877378000944952
Random Convex MDT_t1,61,chs,5.622881027931381
Random Convex MDT_t1,61,ami,0.8761426681376041
Random Convex MDT_t1,61,ari,0.7715858538358727
Random Convex MDT_t1,62,chs,5.698580258700313
Random Convex MDT_t1,62,ami,0.8927531732712084
Random Convex MDT_t1,62,ari,0.7318241911142574
Random Convex MDT_t1,63,chs,5.600253561654772
Random Convex MDT_t1,63,ami,0.8547181106655185
Random Convex MDT_t1,63,ari,0.7340455805027256
Random Convex MDT_t1,64,chs,5.756195956589006
Random Convex MDT_t1,64,ami,0.9165254632895599
Random Convex MDT_t1,64,ari,0.8282798504243628
Random Convex MDT_t1,65,chs,5.850408880957869
Random Convex MDT_t1,65,ami,0.9312535476162982
Random Convex MDT_t1,65,ari,0.8385030080475037
Random Convex MDT_t1,66,chs,5.652031775647604
Random Convex MDT_t1,66,ami,0.8880032426428924
Random Convex MDT_t1,66,ari,0.778352656756227
Random Convex MDT_t1,67,chs,5.457342050045821
Random Convex MDT_t1,67,ami,0.8147063110776105
Random Convex MDT_t1,67,ari,0.6854118443549184
Random Convex MDT_t1,68,chs,5.352121105331935
Random Convex MDT_t1,68,ami,0.8014271785552924
Random Convex MDT_t1,68,ari,0.6628033465163583
Random Convex MDT_t1,69,chs,5.509051602808359
Random Convex MDT_t1,69,ami,0.8441389921343211
Random Convex MDT_t1,69,ari,0.7032666541392671
Random Convex MDT_t1,70,chs,5.790897710435721
Random Convex MDT_t1,70,ami,0.9064792034617277
Random Convex MDT_t1,70,ari,0.8260746746533727
Random Convex MDT_t1,71,chs,5.563077319765765
Random Convex MDT_t1,71,ami,0.859247262881051
Random Convex MDT_t1,71,ari,0.7563546913435634
Random Convex MDT_t1,72,chs,5.41607970966313
Random Convex MDT_t1,72,ami,0.8169612624208873
Random Convex MDT_t1,72,ari,0.6907889544765116
Random Convex MDT_t1,73,chs,5.654203597716819
Random Convex MDT_t1,73,ami,0.8567575059840439
Random Convex MDT_t1,73,ari,0.7242239621316847
Random Convex MDT_t1,74,chs,5.3161729290824065
Random Convex MDT_t1,74,ami,0.7871028578217624
Random Convex MDT_t1,74,ari,0.6284591268580836
Random Convex MDT_t1,75,chs,5.784929765290944
Random Convex MDT_t1,75,ami,0.9401284387154297
Random Convex MDT_t1,75,ari,0.867279646620315
Random Convex MDT_t1,76,chs,5.806732938043086
Random Convex MDT_t1,76,ami,0.9243416544931918
Random Convex MDT_t1,76,ari,0.8522957940736038
Random Convex MDT_t1,77,chs,5.144176909237815
Random Convex MDT_t1,77,ami,0.7275614363533839
Random Convex MDT_t1,77,ari,0.5609537857863759
Random Convex MDT_t1,78,chs,5.712680889268174
Random Convex MDT_t1,78,ami,0.905791188693516
